Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.1.13	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	TOP GALLEY											
1.1.13.1	      		1	PINE - 89x19	Pine												TOP GALLEY											
1.1.14	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	FRONT SHORT<As Machined>											
1.1.14.1	      		1	PINE - 89x19	Pine												FRONT SHORT<As Machined>											
1.1.15	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	FRONT LONG<As Machined>											
1.1.15.1	      		1	PINE - 89x19	Pine												FRONT LONG<As Machined>											
1.1.16	    INNER CABINET		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	INNER CABINET	Default											
1.1.16.1	      MAIN CABINET		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MAIN CABINET	Default<As Machined>											
1.1.16.1.1	        		2	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.2	        		1	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.3	        		1	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.4	        		1		Pine												Default<As Machined>											
1.1.16.1.5	        		2	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.6	        		1	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.7	        		1	PINE - 89x19	Pine												Default<As Machined>											
1.1.16.1.8	        		1		Pine												Default<As Machined>											
1.1.16.2	      SLIDING DOOR		4												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SLIDING DOOR	MAIN											
1.1.16.3	      MAIN CABINET		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MAIN CABINET	LOWER CAB<As Machined>											
1.1.16.3.1	        		4	PINE - 89x19	Pine												LOWER CAB<As Machined>											
1.1.16.3.2	        		1	PINE - 89x19	Pine												LOWER CAB<As Machined>											
1.1.16.3.3	        		1		Pine												LOWER CAB<As Machined>											
1.1.16.3.4	        		1	PINE - 89x19	Pine												LOWER CAB<As Machined>											
1.1.17	    GALLEY TABLE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	GALLEY TABLE	Default<As Machined>											
1.1.17.1	      		1		Pine												Default<As Machined>											
